203,akuqtuq-,(t) to receive,,,,,,
204,akut-,"(t) to stir, mix",,,,,,
205,akutaq,Inuit ice cream,,,,,,
206,akutchi-,"(i) to stir, mix",,,,,,
207,akutqui-,(i) to receive,,,,,,
208,alainait-,"to have a good sense of humor, to be amusing",Alainaitpaktuq. *,"S/he is making everyone jolly, happy",Alainailaq. ,It is amusing.,,
209,alakaġiaqtuut chukakaŋman qanuqitmaŋa,to check? (full sentence),,,,,,
210,alakaq-,to peer over barrier,,,,,,
211,alaŋasraa*,an elderly person,,,,,,
212,alaŋasri,elderly person,quliaqtuaġvium aŋalasri,church elder,,,,
213,alaŋasrit,elderly people,,,,,,
214,alapaa,how cold!,Alapaa qakma chila.,The weather is so cold out there!,,,,
215,alapisaun,*diversion,,,,,,
216,alappaaq-,(i) to be cold,,,,,,
217,alappaaqchi-*,"(i) to be cool, of weather or dwelling",Alappaaqchiruq. ,It is cold. ,,,,
218,Alaskam qitqani,interior of Alaska ,,,,,,
219,ałhaanitaq,calf during second winter - born 2 years now,,,,,,
220,aliachuk-,"(i) to feel sad, lonely, depressed, sad; to be dull, boring; to mourn ",,,,,,
221,aliachukpak-,to be very sad,,,,,,
222,aliachuliq-,(i) to become sad ,,,,,,
223,alianai-,to be fun,,,,,,
224,alianaq,sorrow,,,,,,
225,alianniuq-,"(i) to be lonely, bored",,,,,,
226,alichuuti-,(t) to mourn,,,,,,
227,ałiġaqtaun,"line, rope",,,,,,
228,aliitkun,pasttime,,,,,,
229,alik-,(i) for something to tear or rip; (t) to tear or rip something,,,,,,
230,alikchi-,"(t) to rip, tear roughly; (i) to tear or rip something",,,,,,
231,aliuġnaq-,to be formidable,,,,,,
232,ałła,"other, another",,,,,,
233,ałłagu,next winter,,,,,,
234,allaiyai-,(i) to patch or mend,,,,,,
235,allaiyaq-,(t) to patch or mend,,,,,,
236,ałłakaġiik-,(i) to be different from one another,,,,,,
237,ałłakaġuq-,(i) to be different,,,,,,
238,ałłakaq,a different one,,,,,,
239,allaq,"a hole, a tear or rip",,,,,,
240,ałłiġaq,rug,,,,,,
241,alliq,bobbin,,,,,,
242,ałłiq,the one on the bottom,,,,,,
243,ałqutaŋuluuraq,little spoon ,,,,,,
244,ałqutaq,spoon ,,,,,,
245,aluaq,coal,,,,,,
246,alugliyaun,doormat,,,,,,
247,aluġun,sandal,,,,,,
248,aluiġaq,sour dock?,,,,,,
249,aluit,"fruit, berries (all kinds)",nutaat aluit nalaŋmiutat,canned fruit,paatqaq aluk,canned fruit,,
250,aluk,one berry,,,,,,
251,aluk-,"to lap, lick",,,,,,
252,aluktaq-,to eat fruit,,,,,,
253,aluktuq-,to lick (t),,,,,,
254,aluŋniaq-,to pick berries,,,,,,
255,aluŋnun ilaigutit,berry comb,,,,,,
256,aluq,*sole of foot,,,,,,
257,amaġaaqchi-,"(i) to increase, grow in numbers",,,,,,
258,amaġuq,wolf (Canis lupus),,,,,,
259,amalgaŋit-,to be insufficient,Amalgaŋilaq ikayuun.,?,,,,
